EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
1,-13,1,0,0.813764,5691.76,3741.41,61.2763,286058,966.343,2.684,0.0447963,1430.29,4.83172,0.824,0.00564686
2,-13,1,0,0.00136105,6976.98,4098.09,68.2334,104862,964.337,0.78,0.0460194,524.31,4.82168,0.236,0.00496337
3,-13,1,0,0.00202772,10735,4138.48,68.0196,240358,1290.27,2.028,0.0484603,1201.79,6.45134,0.08,0.00480288
4,-13,1,0,0.000977628,16591.1,5821.9,73.1466,343765,1437.7,2.214,0.049792,1718.83,7.1885,0.126,0.00493847
5,-13,1,0,4.44746,1393.89,976.745,55.3781,24968.5,511.517,0.506,0.0386569,124.842,2.55759,0.07,0.00448073
6,-13,2,0,0.00178998,7938.75,4379.52,69.0035,205546,1126.86,2.13,0.0474308,1027.73,5.63432,0.072,0.00459333
6,-13,2,1,10.5465,3615.36,4379.52,69.0035,205546,1126.86,2.13,0.0474308,1027.73,5.63432,0.072,0.00459333
7,-13,1,0,0.00127167,5083.78,3047.47,63.8071,68571,766.784,0.51,0.0433363,342.855,3.83392,0.066,0.00470287
8,-13,1,0,0.00129428,8171.86,4640.82,65.3225,237593,1049.02,1.834,0.0452914,1187.96,5.2451,0.044,0.00451091
9,-13,1,0,0.00193834,14056.6,5514.95,72.4403,227848,1184.71,2.194,0.0475525,1139.24,5.92357,0.162,0.00499874
10,-13,1,0,0.828619,3300.91,2181.46,61.7044,69294.3,735.169,0.834,0.0426748,346.471,3.67584,0.186,0.00480846
11,-13,1,0,0.00138285,15039.1,5675.13,71.9519,252719,1186.52,2.082,0.0476032,1263.59,5.9326,0.204,0.00498619
12,-13,1,0,0.000457103,8688.52,4541.78,66.399,215883,1036.2,1.886,0.0455587,1079.41,5.18099,0.146,0.00476565
13,-13,1,0,0.0014571,12136.3,5395.93,66.7211,221727,1032.44,1.998,0.0455576,1108.63,5.1622,0.064,0.00458954
