EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
1,211,2,0,-4.74939e-05,6941.28,3553.12,65.6894,121400,858.539,1,0.0437576,606.998,4.29269,0.106,0.00474706
1,211,2,1,8.21446,357.07,3553.12,65.6894,121400,858.539,1,0.0437576,606.998,4.29269,0.106,0.00474706
2,211,1,0,0.00129428,6973.2,3471.63,64.6811,122264,870.562,1.1,0.0436492,611.322,4.35281,0.06,0.00458052
3,211,1,0,0.00202772,10196.2,4721.85,66.9067,176328,991.847,1.736,0.0453706,881.64,4.95923,0.07,0.00453502
4,211,1,0,0.0014571,11964.1,5294.25,70.4496,233771,1137.27,1.8,0.0467025,1168.85,5.68634,0.216,0.00485361
5,211,1,0,2.34176,1645.39,1833.28,55.9721,44968.2,574.306,0.558,0.0391623,224.841,2.87153,0.094,0.00452356
6,211,2,0,0.00136105,14209.9,11332.2,79.3821,542945,1568.42,2.576,0.0481898,2714.73,7.8421,0.134,0.00481678
6,211,2,1,263.008,886.416,11332.2,79.3821,542945,1568.42,2.576,0.0481898,2714.73,7.8421,0.134,0.00481678
7,211,1,0,0.326028,5166.07,2958.24,59.8775,190354,880.83,1.918,0.0449889,951.772,4.40415,0.338,0.004815
8,211,1,0,0.00176375,7128.89,3561.72,63.7095,193482,1082.6,1.584,0.046814,967.412,5.41298,0.264,0.00480486
9,211,1,0,0.00212377,13404.7,5132.55,71.5375,304604,1218.05,2.438,0.0478919,1523.02,6.09025,0.162,0.00507406
10,211,1,0,3.81413,1702.04,2000.97,55.9753,42252.2,583.891,0.458,0.0396844,211.261,2.91946,0.028,0.00434991
11,211,1,0,0.00202772,12080.3,7655.98,75.5082,375189,1405.5,2.476,0.0487213,1875.95,7.02749,0.06,0.00485515
12,211,3,0,-0.000542897,13351.1,12075.1,79.3643,555830,1507.75,2.668,0.0472784,2779.15,7.53873,0.112,0.00473292
12,211,3,1,61.1072,824.128,12075.1,79.3643,555830,1507.75,2.668,0.0472784,2779.15,7.53873,0.112,0.00473292
12,211,3,2,671.884,811.448,12075.1,79.3643,555830,1507.75,2.668,0.0472784,2779.15,7.53873,0.112,0.00473292
13,211,2,0,0.00178998,9872.7,4755.72,69.6339,191376,1106.8,1.644,0.0461704,956.879,5.53402,0.068,0.00472309
13,211,2,1,8.03975,434.664,4755.72,69.6339,191376,1106.8,1.644,0.0461704,956.879,5.53402,0.068,0.00472309
14,211,4,0,0.00602772,29284,13131.2,94.6279,572734,2250.02,2.93,0.0553523,2863.67,11.2501,0.116,0.00495736
14,211,4,1,1240.6,430.941,13131.2,94.6279,572734,2250.02,2.93,0.0553523,2863.67,11.2501,0.116,0.00495736
14,211,4,2,1129.46,348.308,13131.2,94.6279,572734,2250.02,2.93,0.0553523,2863.67,11.2501,0.116,0.00495736
14,211,4,3,1471.79,125.762,13131.2,94.6279,572734,2250.02,2.93,0.0553523,2863.67,11.2501,0.116,0.00495736
15,211,6,0,67.3551,1021.37,252.24,48.472,2656.63,376.891,0.088,0.0364096,13.2831,1.88445,0.01,0.00429889
15,211,6,1,0.00413207,20117.9,252.24,48.472,2656.63,376.891,0.088,0.0364096,13.2831,1.88445,0.01,0.00429889
