"EventID","PDGcode","nopflash","flash","flash_time","flashPE","maxhitamp","meanhitamp","maxhitarea","meanhitarea","maxhitwidth","meanhitwidth","maxhitPE","meanhitPE","maxhitrisetime","meanhitrisetime"
1,"pion",2,0,-4.74939e-05,6941.28,3553.12,65.6894,121400,858.539,1,0.0437576,606.998,4.29269,0.106,0.00474706
2,"pion",1,0,0.00129428,6973.2,3471.63,64.6811,122264,870.562,1.1,0.0436492,611.322,4.35281,0.06,0.00458052
3,"pion",1,0,0.00202772,10196.2,4721.85,66.9067,176328,991.847,1.736,0.0453706,881.64,4.95923,0.07,0.00453502
4,"pion",1,0,0.0014571,11964.1,5294.25,70.4496,233771,1137.27,1.8,0.0467025,1168.85,5.68634,0.216,0.00485361
5,"pion",1,0,2.34176,1645.39,1833.28,55.9721,44968.2,574.306,0.558,0.0391623,224.841,2.87153,0.094,0.00452356
6,"pion",2,0,0.00136105,14209.9,11332.2,79.3821,542945,1568.42,2.576,0.0481898,2714.73,7.8421,0.134,0.00481678
7,"pion",1,0,0.326028,5166.07,2958.24,59.8775,190354,880.83,1.918,0.0449889,951.772,4.40415,0.338,0.004815
8,"pion",1,0,0.00176375,7128.89,3561.72,63.7095,193482,1082.6,1.584,0.046814,967.412,5.41298,0.264,0.00480486
9,"pion",1,0,0.00212377,13404.7,5132.55,71.5375,304604,1218.05,2.438,0.0478919,1523.02,6.09025,0.162,0.00507406
10,"pion",1,0,3.81413,1702.04,2000.97,55.9753,42252.2,583.891,0.458,0.0396844,211.261,2.91946,0.028,0.00434991
11,"pion",1,0,0.00202772,12080.3,7655.98,75.5082,375189,1405.5,2.476,0.0487213,1875.95,7.02749,0.06,0.00485515
12,"pion",3,0,-0.000542897,13351.1,12075.1,79.3643,555830,1507.75,2.668,0.0472784,2779.15,7.53873,0.112,0.00473292
13,"pion",2,0,0.00178998,9872.7,4755.72,69.6339,191376,1106.8,1.644,0.0461704,956.879,5.53402,0.068,0.00472309
14,"pion",4,0,0.00602772,29284,13131.2,94.6279,572734,2250.02,2.93,0.0553523,2863.67,11.2501,0.116,0.00495736
15,"pion",6,0,67.3551,1021.37,252.24,48.472,2656.63,376.891,0.088,0.0364096,13.2831,1.88445,0.01,0.00429889
16,"pion",2,0,0.00162762,19456.8,11864.4,84.7149,605320,1929.28,2.832,0.0515944,3026.6,9.64641,0.124,0.00478334
17,"pion",1,0,0.00102772,8914.73,4289.95,66.8559,244618,994.947,2.112,0.0447187,1223.09,4.97474,0.176,0.00473103
18,"pion",1,0,1.84079,2069.05,2711.17,58.8369,57075.5,648.605,0.574,0.0407774,285.377,3.24302,0.04,0.00455172
19,"pion",2,0,0.00178998,14996.4,9547.77,77.2315,467850,1487.74,2.144,0.0475258,2339.25,7.43868,0.11,0.00477083
20,"pion",1,0,0.00164429,14412,5852.91,73.6766,283423,1344.4,2.042,0.0483713,1417.11,6.722,0.266,0.00495243
1,"pion",1,0,0.00129428,6056.77,3507.45,63.3306,124606,841.218,1.114,0.0439097,623.029,4.20609,0.184,0.00470139
2,"pion",2,0,0.000952506,12295.5,10761.9,77.7855,484455,1479.6,2.548,0.0471889,2422.28,7.39799,0.264,0.00481468
3,"pion",1,0,0.00202772,10565.2,4380.6,67.3807,296865,1199.23,2.302,0.0466368,1484.32,5.99613,0.344,0.00493984
4,"pion",1,0,0.00202772,16238.1,5654.99,73.2147,389392,1523.99,2.666,0.0506269,1946.96,7.61993,0.308,0.00502769
5,"pion",1,0,1.29501,2205.3,2846.2,58.3893,80670.5,689.157,1.01,0.0416906,403.353,3.44578,0.048,0.0045875
6,"pion",1,0,0.00178998,8983.53,5262.45,63.4249,297739,1053.17,2.536,0.0458523,1488.7,5.26584,0.104,0.00464947
7,"pion",1,0,0.000952506,5699.69,3757.4,63.7181,194733,906.871,1.762,0.0443564,973.665,4.53436,0.07,0.00472713
8,"pion",1,0,-0.000154564,8391.76,4405.84,64.4283,168122,904.772,1.444,0.0446889,840.611,4.52386,0.094,0.00461995
9,"pion",1,0,0.00195251,11129.9,5340.23,71.2323,246228,1195.48,2.164,0.0473523,1231.14,5.97741,0.138,0.00496778
10,"pion",1,0,0.305764,3537.99,3176.11,65.2351,85931.7,823.747,1.21,0.0439604,429.658,4.11874,0.046,0.00458207
11,"pion",2,0,0.00202772,14117.1,7808.38,79.3743,374362,1588.87,2.45,0.0492313,1871.81,7.94436,0.19,0.00470568
12,"pion",1,0,0.00162762,9549.76,4445.39,66.0048,285908,1275,1.952,0.0476101,1429.54,6.37501,0.076,0.00467957
13,"pion",1,0,0.0014571,18145.4,11162.3,85.7557,523904,1747.27,2.588,0.049949,2619.52,8.73635,0.308,0.00496774
14,"pion",3,0,725.439,161.2,136.88,48.6324,2135.96,346.666,0.082,0.0356774,10.6798,1.73333,0.008,0.00430108
15,"pion",1,0,0.00136105,23682.3,14077.6,88.7285,775843,2147.08,3.346,0.0515576,3879.21,10.7354,0.092,0.00464098
16,"pion",4,0,536.006,331.7,330.02,49.1487,4331.68,404.512,0.072,0.0365366,21.6584,2.02256,0.01,0.00423171
17,"pion",1,0,0.000952506,15935.2,13194.5,83.8747,640362,1714.39,2.91,0.0496611,3201.81,8.57195,0.04,0.00464013
18,"pion",1,0,1.89895,1373.52,2067.42,58.6459,35813.4,590.761,0.396,0.0398968,179.067,2.95381,0.014,0.00445161
19,"pion",1,0,0.00201317,15708.5,10730.9,80.3085,504376,1506.09,2.23,0.0478993,2521.88,7.53043,0.214,0.00472004
20,"pion",1,0,0.0014571,16405.6,6056.68,72.7175,304150,1249.47,2.202,0.0479741,1520.75,6.24737,0.052,0.00471135
1,"pion",1,0,0.00102772,6198.21,3326.52,63.7535,105604,859.073,1.236,0.0441996,528.019,4.29537,0.142,0.00459044
2,"pion",1,0,0.000952506,5624.95,3785.93,61.7092,150305,797.3,1.608,0.0427002,751.523,3.9865,0.128,0.00463218
3,"pion",1,0,0.00433293,10958.4,4641.85,71.4857,184563,1114.79,1.746,0.0469451,922.815,5.57396,0.086,0.00471414
4,"pion",2,0,141.873,1073.22,741.64,51.6386,8976.96,445.32,0.14,0.0373071,44.8848,2.2266,0.012,0.00426556
5,"pion",1,0,0.348294,2418.18,3292.41,61.1781,95317.9,712.276,1.1,0.0415817,476.59,3.56138,0.052,0.00444772
6,"pion",2,0,0.00301317,9586.14,5130.07,74.8631,181218,1211.9,1.694,0.0481871,906.088,6.05951,0.052,0.00463464
7,"pion",1,0,0.00229428,4787.04,2437.45,59.9927,94621.4,713.419,1.112,0.0421788,473.107,3.56709,0.044,0.00436364
